age_class,age_midpoint,mean,LowerCI,UpperCI
18-24,21,7.9,7.3,8.5
25-34,30,7.8,7.4,8.3
35-44,40,6.1,5.7,6.6
45-54,50,6.4,6,6.9
55-64,60,5.9,5.5,6.4
65-74,70,3.2,2.8,3.6
75+,85,3.3,2.9,3.8
