age_class,Total,var,date
"[45, 65)",2437,death_cumul,2020-04-18
"[65, 75)",2646,death_cumul,2020-04-18
"[75, Inf)",5314,death_cumul,2020-04-18
"[-Inf, 18)",3,death_cumul,2020-04-19
"[18, 45)",455,death_cumul,2020-04-19
"[45, 65)",2554,death_cumul,2020-04-19
"[65, 75)",2776,death_cumul,2020-04-19
"[75, Inf)",5608,death_cumul,2020-04-19
"[-Inf, 18)",3,death_cumul,2020-04-20
"[18, 45)",473,death_cumul,2020-04-20
"[45, 65)",2633,death_cumul,2020-04-20
"[65, 75)",2882,death_cumul,2020-04-20
"[75, Inf)",5838,death_cumul,2020-04-20
"[-Inf, 18)",3,death_cumul,2020-04-21
"[18, 45)",502,death_cumul,2020-04-21
"[45, 65)",2783,death_cumul,2020-04-21
"[65, 75)",3056,death_cumul,2020-04-21
"[75, Inf)",6146,death_cumul,2020-04-21
"[-Inf, 18)",5,death_cumul,2020-04-22
"[18, 45)",518,death_cumul,2020-04-22
"[45, 65)",2906,death_cumul,2020-04-22
"[65, 75)",3187,death_cumul,2020-04-22
"[75, Inf)",6455,death_cumul,2020-04-22
"[-Inf, 18)",7,death_cumul,2020-04-23
"[18, 45)",533,death_cumul,2020-04-23
"[45, 65)",3003,death_cumul,2020-04-23
"[65, 75)",3309,death_cumul,2020-04-23
"[75, Inf)",6718,death_cumul,2020-04-23
"[-Inf, 18)",7,death_cumul,2020-04-24
"[18, 45)",553,death_cumul,2020-04-24
"[45, 65)",3129,death_cumul,2020-04-24
"[65, 75)",3447,death_cumul,2020-04-24
"[75, Inf)",7020,death_cumul,2020-04-24
"[-Inf, 18)",7,death_cumul,2020-04-25
"[18, 45)",564,death_cumul,2020-04-25
"[45, 65)",3222,death_cumul,2020-04-25
"[65, 75)",3556,death_cumul,2020-04-25
"[75, Inf)",7295,death_cumul,2020-04-25
"[-Inf, 18)",7,death_cumul,2020-04-26
"[18, 45)",582,death_cumul,2020-04-26
"[45, 65)",3334,death_cumul,2020-04-26
"[65, 75)",3654,death_cumul,2020-04-26
"[75, Inf)",7548,death_cumul,2020-04-26
"[-Inf, 18)",7,death_cumul,2020-04-27
"[18, 45)",589,death_cumul,2020-04-27
"[45, 65)",3393,death_cumul,2020-04-27
"[65, 75)",3713,death_cumul,2020-04-27
"[75, Inf)",7718,death_cumul,2020-04-27
"[-Inf, 18)",7,death_cumul,2020-04-28
"[18, 45)",592,death_cumul,2020-04-28
"[45, 65)",3448,death_cumul,2020-04-28
"[65, 75)",3769,death_cumul,2020-04-28
"[75, Inf)",7845,death_cumul,2020-04-28
"[-Inf, 18)",9,death_cumul,2020-04-29
"[18, 45)",606,death_cumul,2020-04-29
"[45, 65)",3532,death_cumul,2020-04-29
"[65, 75)",3865,death_cumul,2020-04-29
"[75, Inf)",8064,death_cumul,2020-04-29
"[-Inf, 18)",9,death_cumul,2020-04-30
"[18, 45)",620,death_cumul,2020-04-30
"[45, 65)",3601,death_cumul,2020-04-30
"[65, 75)",3936,death_cumul,2020-04-30
"[75, Inf)",8217,death_cumul,2020-04-30
"[-Inf, 18)",9,death_cumul,2020-05-01
"[18, 45)",640,death_cumul,2020-05-01
