age_class,Total,var,date
18-44,458,death_cumul,2020-04-25
45-64,2458,death_cumul,2020-04-25
65-74,2727,death_cumul,2020-04-25
75+,5310,death_cumul,2020-04-25
0-17,5,death_cumul,2020-04-26
18-44,472,death_cumul,2020-04-26
45-64,2563,death_cumul,2020-04-26
65-74,2843,death_cumul,2020-04-26
75+,5575,death_cumul,2020-04-26
0-17,5,death_cumul,2020-04-27
18-44,479,death_cumul,2020-04-27
45-64,2620,death_cumul,2020-04-27
65-74,2884,death_cumul,2020-04-27
75+,5718,death_cumul,2020-04-27
0-17,5,death_cumul,2020-04-28
18-44,482,death_cumul,2020-04-28
45-64,2649,death_cumul,2020-04-28
65-74,2910,death_cumul,2020-04-28
75+,5772,death_cumul,2020-04-28
0-17,6,death_cumul,2020-04-29
18-44,497,death_cumul,2020-04-29
45-64,2742,death_cumul,2020-04-29
65-74,3027,death_cumul,2020-04-29
75+,6013,death_cumul,2020-04-29
0-17,6,death_cumul,2020-04-30
18-44,507,death_cumul,2020-04-30
45-64,2803,death_cumul,2020-04-30
65-74,3101,death_cumul,2020-04-30
75+,6152,death_cumul,2020-04-30
0-17,6,death_cumul,2020-05-01
18-44,531,death_cumul,2020-05-01
45-64,2908,death_cumul,2020-05-01
65-74,3217,death_cumul,2020-05-01
75+,6336,death_cumul,2020-05-01
0-17,6,death_cumul,2020-05-02
18-44,534,death_cumul,2020-05-02
45-64,2937,death_cumul,2020-05-02
65-74,3260,death_cumul,2020-05-02
75+,6417,death_cumul,2020-05-02
0-17,6,death_cumul,2020-05-03
18-44,538,death_cumul,2020-05-03
45-64,2973,death_cumul,2020-05-03
65-74,3296,death_cumul,2020-05-03
75+,6505,death_cumul,2020-05-03
0-17,6,death_cumul,2020-05-04
18-44,545,death_cumul,2020-05-04
45-64,3028,death_cumul,2020-05-04
65-74,3363,death_cumul,2020-05-04
75+,6593,death_cumul,2020-05-04
0-17,6,death_cumul,2020-05-05
18-44,549,death_cumul,2020-05-05
45-64,3078,death_cumul,2020-05-05
65-74,3403,death_cumul,2020-05-05
75+,6687,death_cumul,2020-05-05
0-17,6,death_cumul,2020-05-06
18-44,557,death_cumul,2020-05-06
45-64,3119,death_cumul,2020-05-06
65-74,3458,death_cumul,2020-05-06
75+,6797,death_cumul,2020-05-06
0-17,6,death_cumul,2020-05-07
18-44,566,death_cumul,2020-05-07
45-64,3170,death_cumul,2020-05-07
65-74,3511,death_cumul,2020-05-07
75+,6907,death_cumul,2020-05-07
0-17,6,death_cumul,2020-05-08
18-44,575,death_cumul,2020-05-08
45-64,3219,death_cumul,2020-05-08
65-74,3581,death_cumul,2020-05-08
75+,7006,death_cumul,2020-05-08
0-17,7,death_cumul,2020-05-09
18-44,577,death_cumul,2020-05-09
45-64,3242,death_cumul,2020-05-09
65-74,3603,death_cumul,2020-05-09
75+,7051,death_cumul,2020-05-09
0-17,8,death_cumul,2020-05-10
18-44,583,death_cumul,2020-05-10
45-64,3316,death_cumul,2020-05-10
65-74,3664,death_cumul,2020-05-10
75+,7180,death_cumul,2020-05-10
0-17,10,death_cumul,2020-05-11
18-44,587,death_cumul,2020-05-11
45-64,3348,death_cumul,2020-05-11
65-74,3708,death_cumul,2020-05-11
75+,7273,death_cumul,2020-05-11
0-17,10,death_cumul,2020-05-12
18-44,596,death_cumul,2020-05-12
45-64,3383,death_cumul,2020-05-12
65-74,3753,death_cumul,2020-05-12
75+,7356,death_cumul,2020-05-12
0-17,9,death_cumul,2020-05-13
18-44,601,death_cumul,2020-05-13
45-64,3413,death_cumul,2020-05-13
65-74,3788,death_cumul,2020-05-13
75+,7419,death_cumul,2020-05-13
0-17,8,death_cumul,2020-05-14
18-44,609,death_cumul,2020-05-14
45-64,3438,death_cumul,2020-05-14
65-74,3816,death_cumul,2020-05-14
75+,7475,death_cumul,2020-05-14
0-17,8,death_cumul,2020-05-15
18-44,610,death_cumul,2020-05-15
45-64,3449,death_cumul,2020-05-15
65-74,3841,death_cumul,2020-05-15
75+,7511,death_cumul,2020-05-15
0-17,8,death_cumul,2020-05-16
18-44,620,death_cumul,2020-05-16
45-64,3526,death_cumul,2020-05-16
65-74,3921,death_cumul,2020-05-16
75+,7678,death_cumul,2020-05-16
0-17,10,death_cumul,2020-05-17
18-44,625,death_cumul,2020-05-17
45-64,3556,death_cumul,2020-05-17
65-74,3963,death_cumul,2020-05-17
75+,7731,death_cumul,2020-05-17
0-17,300,case_cumul,2020-03-23
18-44,4965,case_cumul,2020-03-23
45-64,3519,case_cumul,2020-03-23
65-74,1150,case_cumul,2020-03-23
75+,825,case_cumul,2020-03-23
0-17,341,case_cumul,2020-03-24
18-44,6035,case_cumul,2020-03-24
45-64,4343,case_cumul,2020-03-24
65-74,1402,case_cumul,2020-03-24
75+,988,case_cumul,2020-03-24
0-17,384,case_cumul,2020-03-25
18-44,7094,case_cumul,2020-03-25
45-64,5194,case_cumul,2020-03-25
65-74,1689,case_cumul,2020-03-25
75+,1227,case_cumul,2020-03-25
0-17,446,case_cumul,2020-03-26
18-44,8880,case_cumul,2020-03-26
45-64,6786,case_cumul,2020-03-26
65-74,2226,case_cumul,2020-03-26
75+,1633,case_cumul,2020-03-26
0-17,495,case_cumul,2020-03-27
18-44,10145,case_cumul,2020-03-27
45-64,7869,case_cumul,2020-03-27
65-74,2627,case_cumul,2020-03-27
75+,1935,case_cumul,2020-03-27
0-17,543,case_cumul,2020-03-28
18-44,11617,case_cumul,2020-03-28
45-64,9158,case_cumul,2020-03-28
65-74,3034,case_cumul,2020-03-28
75+,2286,case_cumul,2020-03-28
